date,week,name,predicted_tempreature
2020-06-01,23,Charlottenburg-Wilmersdorf,17.98
2020-06-02,23,Charlottenburg-Wilmersdorf,18.08
2020-06-03,23,Charlottenburg-Wilmersdorf,18.16
2020-06-04,23,Charlottenburg-Wilmersdorf,18.25
2020-06-05,23,Charlottenburg-Wilmersdorf,18.32
2020-06-06,23,Charlottenburg-Wilmersdorf,18.34
2020-06-07,23,Charlottenburg-Wilmersdorf,18.52
2020-06-08,24,Charlottenburg-Wilmersdorf,18.69
2020-06-09,24,Charlottenburg-Wilmersdorf,18.78
2020-06-10,24,Charlottenburg-Wilmersdorf,18.84
2020-06-11,24,Charlottenburg-Wilmersdorf,18.91
2020-06-12,24,Charlottenburg-Wilmersdorf,18.96
2020-06-13,24,Charlottenburg-Wilmersdorf,18.96
2020-06-14,24,Charlottenburg-Wilmersdorf,19.11
2020-06-15,25,Charlottenburg-Wilmersdorf,19.27
2020-06-16,25,Charlottenburg-Wilmersdorf,19.33
2020-06-17,25,Charlottenburg-Wilmersdorf,19.36
2020-06-18,25,Charlottenburg-Wilmersdorf,19.41
2020-06-19,25,Charlottenburg-Wilmersdorf,19.43
2020-06-20,25,Charlottenburg-Wilmersdorf,19.41
2020-06-21,25,Charlottenburg-Wilmersdorf,19.53
2020-06-22,26,Charlottenburg-Wilmersdorf,19.66
2020-06-23,26,Charlottenburg-Wilmersdorf,19.7
2020-06-24,26,Charlottenburg-Wilmersdorf,19.72
2020-06-25,26,Charlottenburg-Wilmersdorf,19.74
2020-06-26,26,Charlottenburg-Wilmersdorf,19.74
2020-06-27,26,Charlottenburg-Wilmersdorf,19.71
2020-06-28,26,Charlottenburg-Wilmersdorf,19.82
2020-06-29,27,Charlottenburg-Wilmersdorf,19.94
2020-06-30,27,Charlottenburg-Wilmersdorf,19.97
2020-07-01,27,Charlottenburg-Wilmersdorf,19.98
2020-07-02,27,Charlottenburg-Wilmersdorf,20.01
2020-07-03,27,Charlottenburg-Wilmersdorf,20.02
2020-07-04,27,Charlottenburg-Wilmersdorf,19.99
2020-07-05,27,Charlottenburg-Wilmersdorf,20.11
2020-07-06,28,Charlottenburg-Wilmersdorf,20.24
2020-07-07,28,Charlottenburg-Wilmersdorf,20.28
2020-07-08,28,Charlottenburg-Wilmersdorf,20.32
2020-07-09,28,Charlottenburg-Wilmersdorf,20.36
2020-07-10,28,Charlottenburg-Wilmersdorf,20.38
2020-07-11,28,Charlottenburg-Wilmersdorf,20.37
2020-07-12,28,Charlottenburg-Wilmersdorf,20.52
2020-07-13,29,Charlottenburg-Wilmersdorf,20.67
2020-07-14,29,Charlottenburg-Wilmersdorf,20.73
2020-07-15,29,Charlottenburg-Wilmersdorf,20.78
2020-07-16,29,Charlottenburg-Wilmersdorf,20.84
2020-07-17,29,Charlottenburg-Wilmersdorf,20.88
2020-07-18,29,Charlottenburg-Wilmersdorf,20.88
2020-07-19,29,Charlottenburg-Wilmersdorf,21.03
2020-07-20,30,Charlottenburg-Wilmersdorf,21.19
2020-07-21,30,Charlottenburg-Wilmersdorf,21.25
2020-07-22,30,Charlottenburg-Wilmersdorf,21.29
2020-07-23,30,Charlottenburg-Wilmersdorf,21.34
2020-07-24,30,Charlottenburg-Wilmersdorf,21.36
2020-07-25,30,Charlottenburg-Wilmersdorf,21.34
2020-07-26,30,Charlottenburg-Wilmersdorf,21.46
2020-07-27,31,Charlottenburg-Wilmersdorf,21.58
2020-07-28,31,Charlottenburg-Wilmersdorf,21.61
2020-07-29,31,Charlottenburg-Wilmersdorf,21.61
2020-07-30,31,Charlottenburg-Wilmersdorf,21.61
2020-07-31,31,Charlottenburg-Wilmersdorf,21.58
2020-08-01,31,Charlottenburg-Wilmersdorf,21.51
2020-08-02,31,Charlottenburg-Wilmersdorf,21.57
2020-08-03,32,Charlottenburg-Wilmersdorf,21.64
2020-08-04,32,Charlottenburg-Wilmersdorf,21.6
2020-08-05,32,Charlottenburg-Wilmersdorf,21.54
2020-08-06,32,Charlottenburg-Wilmersdorf,21.47
2020-08-07,32,Charlottenburg-Wilmersdorf,21.38
2020-08-08,32,Charlottenburg-Wilmersdorf,21.24
2020-08-09,32,Charlottenburg-Wilmersdorf,21.24
2020-08-10,33,Charlottenburg-Wilmersdorf,21.24
2020-08-11,33,Charlottenburg-Wilmersdorf,21.14
2020-08-12,33,Charlottenburg-Wilmersdorf,21.02
2020-08-13,33,Charlottenburg-Wilmersdorf,20.9
2020-08-14,33,Charlottenburg-Wilmersdorf,20.75
2020-08-15,33,Charlottenburg-Wilmersdorf,20.56
2020-08-16,33,Charlottenburg-Wilmersdorf,20.52
2020-08-17,34,Charlottenburg-Wilmersdorf,20.47
2020-08-18,34,Charlottenburg-Wilmersdorf,20.33
2020-08-19,34,Charlottenburg-Wilmersdorf,20.17
2020-08-20,34,Charlottenburg-Wilmersdorf,20.02
2020-08-21,34,Charlottenburg-Wilmersdorf,19.84
2020-08-22,34,Charlottenburg-Wilmersdorf,19.63
2020-08-23,34,Charlottenburg-Wilmersdorf,19.56
2020-08-24,35,Charlottenburg-Wilmersdorf,19.5
2020-08-25,35,Charlottenburg-Wilmersdorf,19.34
2020-08-26,35,Charlottenburg-Wilmersdorf,19.17
2020-08-27,35,Charlottenburg-Wilmersdorf,19.01
2020-08-28,35,Charlottenburg-Wilmersdorf,18.83
2020-08-29,35,Charlottenburg-Wilmersdorf,18.6
2020-08-30,35,Charlottenburg-Wilmersdorf,18.54
2020-08-31,36,Charlottenburg-Wilmersdorf,18.47
2020-09-01,36,Charlottenburg-Wilmersdorf,18.32
2020-09-02,36,Charlottenburg-Wilmersdorf,18.15
2020-09-03,36,Charlottenburg-Wilmersdorf,17.99
2020-09-04,36,Charlottenburg-Wilmersdorf,17.81
2020-09-05,36,Charlottenburg-Wilmersdorf,17.6
2020-09-06,36,Charlottenburg-Wilmersdorf,17.54
2020-09-07,37,Charlottenburg-Wilmersdorf,17.48
2020-09-08,37,Charlottenburg-Wilmersdorf,17.33
2020-09-09,37,Charlottenburg-Wilmersdorf,17.17
2020-09-10,37,Charlottenburg-Wilmersdorf,17.02
2020-09-11,37,Charlottenburg-Wilmersdorf,16.84
2020-09-12,37,Charlottenburg-Wilmersdorf,16.63
2020-09-13,37,Charlottenburg-Wilmersdorf,16.57
2020-09-14,38,Charlottenburg-Wilmersdorf,16.52
2020-09-15,38,Charlottenburg-Wilmersdorf,16.37
2020-09-16,38,Charlottenburg-Wilmersdorf,16.21
2020-09-17,38,Charlottenburg-Wilmersdorf,16.06
2020-09-18,38,Charlottenburg-Wilmersdorf,15.89
2020-09-19,38,Charlottenburg-Wilmersdorf,15.67
2020-09-20,38,Charlottenburg-Wilmersdorf,15.61
2020-09-21,39,Charlottenburg-Wilmersdorf,15.55
2020-09-22,39,Charlottenburg-Wilmersdorf,15.4
2020-09-23,39,Charlottenburg-Wilmersdorf,15.23
2020-09-24,39,Charlottenburg-Wilmersdorf,15.07
2020-09-25,39,Charlottenburg-Wilmersdorf,14.89
2020-09-26,39,Charlottenburg-Wilmersdorf,14.67
2020-09-27,39,Charlottenburg-Wilmersdorf,14.59
2020-09-28,40,Charlottenburg-Wilmersdorf,14.52
2020-09-29,40,Charlottenburg-Wilmersdorf,14.36
2020-09-30,40,Charlottenburg-Wilmersdorf,14.18
